Precint,Complaint,Borough,No of Office / Precinct
1st Precinct,664,Manhatten ,482.8993
5th Precinct,499,Manhatten ,362.9018
34th Precinct,771,Manhatten ,560.7159
6th Precinct,693,Manhatten ,503.9898
33rd Precinct,340,Manhatten ,247.2677
32nd Precinct,498,Manhatten ,362.1745
26th Precinct,310,Manhatten ,225.45
30th Precinct,362,Manhatten ,263.2674
28th Precinct,486,Manhatten ,353.4474
25th Precinct,583,Manhatten ,423.9914
17th Precinct,528,Manhatten ,383.9922
24th Precinct,580,Manhatten ,421.8097
19th Precinct,"1,008",Manhatten ,733.0761
20th Precinct,468,Manhatten ,340.3568
23rd Precinct,452,Manhatten ,328.7206
Midtown Precinct North,"1,181",Manhatten ,858.8917
Central Park Precinct,35,Manhatten ,25.45403
Midtown Precinct South,"1,360",Manhatten ,989.0709
10th Precinct,515,Manhatten ,374.5379
13th Precinct,842,Manhatten ,612.3513
9th Precinct,707,Manhatten ,514.1714
7th Precinct,427,Manhatten ,310.5392
94th Precinct,384,Brooklyn,279.2671
76th Precinct,246,Brooklyn,178.9055
90th Precinct,821,Brooklyn,597.0788
88th Precinct,400,Brooklyn,290.9032
75th Precinct,"1,694",Brooklyn,1231.975
81st Precinct,606,Brooklyn,440.7184
79th Precinct,731,Brooklyn,531.6256
83rd Precinct,770,Brooklyn,559.9887
84th Precinct,578,Brooklyn,420.3551
73rd Precinct,846,Brooklyn,615.2603
77th Precinct,612,Brooklyn,445.0819
78th Precinct,468,Brooklyn,340.3568
60th Precinct,477,Brooklyn,346.9021
69th Precinct,447,Brooklyn,325.0843
68th Precinct,448,Brooklyn,325.8116
70th Precinct,721,Brooklyn,524.353
71st Precinct,668,Brooklyn,485.8084
72nd Precinct,565,Brooklyn,410.9008
66th Precinct,488,Brooklyn,354.9019
67th Precinct,"1,081",Brooklyn,786.1659
63rd Precinct,492,Brooklyn,357.811
62nd Precinct,570,Brooklyn,414.5371
114th Precinct,801,Queens ,582.5337
115th Precinct,"1,003",Queens ,729.4398
105th Precinct,904,Queens ,657.4413
106th Precinct,657,Queens ,477.8085
107th Precinct,588,Queens ,427.6277
113th Precinct,671,Queens ,487.9901
104th Precinct,687,Queens ,499.6263
108th Precinct,505,Queens ,367.2653
112th Precinct,325,Queens ,236.3589
101st Precinct,430,Queens ,312.721
102nd Precinct,468,Queens ,340.3568
103rd Precinct,793,Queens ,576.7156
111th Precinct,398,Queens ,289.4487
100th Precinct,231,Queens ,167.9966
110th Precinct,758,Queens ,551.2616
109th Precinct,966,Queens ,702.5313
50th Precinct,520,Bronx,378.1742
52nd Precinct,906,Bronx,658.8958
46th Precinct,974,Bronx,708.3493
49th Precinct,646,Bronx,469.8087
44th Precinct,"1,172",Bronx,852.3464
43rd Precinct,"1,065",Bronx,774.5298
40th Precinct,"1,308",Bronx,951.2535
48th Precinct,818,Bronx,594.8971
47th Precinct,"1,341",Bronx,975.253
45th Precinct,528,Bronx,383.9922
42nd Precinct,741,Bronx,538.8982
41st Precinct,463,Bronx,336.7205
120th Precinct,524,Staten Island ,381.0832
123rd Precinct,133,Staten Island ,96.72532
121th Precinct,446,Staten Island ,324.3571
122nd Precinct,309,Staten Island ,224.7227
